Gene,Coordinates,F1 N2 normalized reads,F1 morc-1(-) normalized reads,Log2(fold change),Adjusted p-value
Y37H2A.10,CHROMOSOME_V:18138966-18140659,4.40,0.00,und,0.0025
K06A4.1,CHROMOSOME_V:9478139-9479580,3.29,0.66,-2.32,0.0444
F56D5.1,CHROMOSOME_IV:9394916-9396201,2.58,0.63,-2.03,0.0203
ZC155.3,CHROMOSOME_III:5203649-5206872,54.54,13.90,-1.97,0.0025
F59H6.1,CHROMOSOME_II:2035706-2039391,8.58,2.35,-1.87,0.0025
F36F12.8,CHROMOSOME_V:2090138-2095112,10.79,3.18,-1.76,0.0025
Y39B6A.11,CHROMOSOME_V:19127500-19130953,3.91,1.25,-1.64,0.0133
C33B4.4,CHROMOSOME_II:11375587-11376207,31.29,10.17,-1.62,0.0025
H27M09.4,CHROMOSOME_I:6843593-6845135,24.52,8.01,-1.61,0.0025
K08F8.2,CHROMOSOME_II:8751932-8753886,2.36,0.78,-1.60,0.0355
Y9D1A.1,CHROMOSOME_II:7446628-7448499,2.60,0.87,-1.57,0.0355
Pseudogene B0391.10,CHROMOSOME_V:15592832-15593166,8.20,2.77,-1.57,0.0281
C07G2.1,CHROMOSOME_III:4489325-4491365,952.08,325.47,-1.55,0.0025
H02I12.1,CHROMOSOME_IV:11372966-11377578,457.55,156.44,-1.55,0.0025
Y67D8A.3,CHROMOSOME_IV:3253262-3254540,14.05,4.81,-1.55,0.0025
C04C3.5,CHROMOSOME_IV:3396577-3399120,5.08,1.78,-1.51,0.0092
F54D8.1,CHROMOSOME_III:5107288-5108550,20.25,7.66,-1.40,0.0025
ZK909.4,CHROMOSOME_I:14961489-14965344,6.59,2.51,-1.39,0.0061
C01B10.5,CHROMOSOME_IV:6646022-6646928,23.69,9.05,-1.39,0.0025
M151.7,CHROMOSOME_II:3622316-3624058,6.45,2.50,-1.37,0.0025
F40D4.17,CHROMOSOME_V:17154549-17155387,13.01,5.06,-1.36,0.0281
C12C8.3,CHROMOSOME_I:9335763-9342488,74.96,29.70,-1.34,0.0025
T11F8.3,CHROMOSOME_IV:5469985-5473166,487.76,139.58,-1.32,0.0025
B0273.2,CHROMOSOME_IV:5486675-5490322,59.77,24.04,-1.31,0.0025
K08H10.1,CHROMOSOME_V:10011846-10031069,182.66,73.81,-1.31,0.0025
F25D7.4,CHROMOSOME_I:10418224-10421851,37.70,15.95,-1.24,0.0025
Y65B4BL.5,CHROMOSOME_I:511050-516459,196.92,83.42,-1.24,0.0025
F16B4.8,CHROMOSOME_V:1577689-1584934,20.83,8.85,-1.24,0.0025
F57G4.8,CHROMOSOME_V:17640645-17650496,10.78,4.58,-1.23,0.0025
F19B2.5,CHROMOSOME_V:20162616-20163701,37.07,15.76,-1.23,0.0025
C46F11.6,CHROMOSOME_III:3667332-3670420,5.54,2.36,-1.23,0.0245
T22F3.3,CHROMOSOME_V:3579043-3585042,344.02,146.76,-1.23,0.0025
W05E10.3,CHROMOSOME_V:11701742-11705383,4.00,1.74,-1.20,0.0045
Y59C2A.3,CHROMOSOME_II:2215480-2219926,14.51,6.31,-1.20,0.0025
F18A11.1,CHROMOSOME_II:13039552-13043406,35.72,15.58,-1.20,0.0025
T27F6.4,CHROMOSOME_I:12484170-12486225,177.62,77.67,-1.19,0.0025
T05G11.1,CHROMOSOME_V:15926402-15928352,10.16,4.52,-1.17,0.0025
C08A9.1,CHROMOSOME_X:17087807-17094149,10.49,4.73,-1.15,0.0192
Y39G8B.2,CHROMOSOME_II:13973615-13976147,4.59,2.07,-1.15,0.0290
F32D1.7,CHROMOSOME_V:4374959-4376165,83.71,38.29,-1.13,0.0025
Y48G9A.11,CHROMOSOME_III:2112403-2116887,11.61,5.31,-1.13,0.0025
Y46B2A.1,CHROMOSOME_II:868820-871707,3.36,1.54,-1.13,0.0346
F54D11.3,CHROMOSOME_V:4635513-4637000,9.79,4.52,-1.11,0.0061
B0047.3,CHROMOSOME_II:2044628-2045590,10.42,4.82,-1.11,0.0236
ZC250.4,CHROMOSOME_V:5812295-5813140,24.30,11.25,-1.11,0.0025
C46H3.2,CHROMOSOME_X:1211753-1220024,5.23,2.44,-1.10,0.0045
Y55F3AM.11,CHROMOSOME_IV:1038668-1041008,7.13,3.33,-1.10,0.0192
R09A1.1,CHROMOSOME_V:1008801-1022912,66.16,31.09,-1.09,0.0025
Y48E1B.8,CHROMOSOME_II:13585656-13590462,22.55,10.72,-1.07,0.0025
K10D3.4,CHROMOSOME_I:7134741-7139972,2.68,1.28,-1.06,0.0158
F21G4.2,CHROMOSOME_X:9884219-9892270,68.30,33.15,-1.04,0.0025
C18E3.7,CHROMOSOME_I:4185061-4189932,74.48,36.17,-1.04,0.0061
C39D10.7,CHROMOSOME_X:7907906-7914076,148.40,72.29,-1.04,0.0025
T27C10.3,CHROMOSOME_I:10879758-10894230,39.13,19.28,-1.02,0.0061
Y43F8C.12,CHROMOSOME_V:19674812-19693014,25.60,12.77,-1.00,0.0025
R06B9.6,CHROMOSOME_II:13741672-13749911,27.92,13.95,-1.00,0.0025
W02A2.7,CHROMOSOME_IV:13353691-13356065,246.55,124.48,-0.99,0.0025
W02B9.1,CHROMOSOME_I:11075750-11134660,40.36,20.41,-0.98,0.0025
C18G1.4,CHROMOSOME_V:4755970-4758594,92.41,46.75,-0.98,0.0025
T07D3.7,CHROMOSOME_II:873182-878961,14.11,7.15,-0.98,0.0025
Y49G5B.1,CHROMOSOME_V:5223406-5229671,25.36,12.89,-0.98,0.0045
F01D4.2,CHROMOSOME_IV:10469742-10471870,32.49,16.52,-0.98,0.0025
T09B4.5,CHROMOSOME_I:6154076-6157402,14.52,7.44,-0.96,0.0061
W07E11.1,CHROMOSOME_X:10084607-10104062,19.32,9.91,-0.96,0.0025
K07A12.2,CHROMOSOME_I:8676656-8681328,107.94,55.47,-0.96,0.0025
C05C10.5,CHROMOSOME_II:9939094-9940278,187.90,97.20,-0.95,0.0025
F22G12.5,CHROMOSOME_I:13162487-13182797,23.31,12.07,-0.95,0.0025
W04A8.4,CHROMOSOME_I:13841882-13842727,16.25,8.47,-0.94,0.0192
D1005.1,CHROMOSOME_X:1479534-1484082,28.27,14.76,-0.94,0.0025
T23G5.1,CHROMOSOME_III:9225294-9228707,166.91,87.22,-0.94,0.0025
C07H6.5,CHROMOSOME_III:7495638-7497768,986.47,501.36,-0.94,0.0025
F07A11.2,CHROMOSOME_II:11592325-11596524,217.72,113.89,-0.93,0.0025
Y111B2A.9,CHROMOSOME_III:12559600-12575265,13.65,7.17,-0.93,0.0025
T02E9.5,CHROMOSOME_V:11342212-11344717,26.96,14.19,-0.93,0.0025
F26E4.8,CHROMOSOME_I:9785768-9787615,497.10,262.36,-0.92,0.0025
Y39A3CR.7,CHROMOSOME_III:1849035-1852893,11.37,6.03,-0.92,0.0061
C40H1.1,CHROMOSOME_III:9322232-9324650,29.44,15.62,-0.91,0.0025
T12D8.1,CHROMOSOME_III:13643816-13656684,16.11,8.58,-0.91,0.0025
F32D1.10,CHROMOSOME_V:4347149-4361538,150.50,80.32,-0.91,0.0025
C46C11.1,CHROMOSOME_X:4637307-4643598,4.80,2.57,-0.90,0.0145
W03C9.7,CHROMOSOME_II:11968572-11973627,163.88,87.98,-0.90,0.0025
C26B2.3,CHROMOSOME_IV:8022843-8029500,17.84,9.63,-0.89,0.0061
M01E11.6,CHROMOSOME_I:5577057-5579302,74.89,40.56,-0.88,0.0025
D2085.1,CHROMOSOME_II:8651056-8658766,16.43,8.91,-0.88,0.0025
Y71G12B.20,CHROMOSOME_I:1634741-1651382,5.38,2.92,-0.88,0.0158
